Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
30343316,Phédon (French Edition),Plato,"Plato, Plato",,"=""""","=""""",0,4.06,Culture commune,Kindle Edition,80,2013,-380,2016/06/26,2016/06/26,,,read,,,,1,0
15688,L'Étranger,Albert Camus,"Camus, Albert",,"=""2070360024""","=""9782070360024""",0,4.02,Gallimard,Mass Market Paperback,184,2000,1942,2017/01/12,2017/01/08,,,read,,,,1,0
51877,Capitalism and Freedom,Milton Friedman,"Friedman, Milton",,"=""0226264211""","=""9780226264219""",0,3.91,University of Chicago Press,Paperback,208,2002,1962,2017/01/08,2016/09/23,,,read,,,,1,0
13377622,"Soufi, mon amour",Elif Shafak,"Shafak, Elif",Dominique Letellier,"=""2264054069""","=""9782264054067""",5,4.13,10/18,Mass Market Paperback,480,2011,2009,2016/12/24,2016/11/19,,,read,,,,1,0
26744545,Lettres Persanes,Montesquieu,"Montesquieu, Montesquieu",,"=""1297957466""","=""9781297957468""",5,3.65,Sagwan Press,Hardcover,318,2015,1721,,2016/01/24,,,read,,,,1,0
8585677,LE TRAITE DES TROIS IMPOSTEURS: Histoire d’un livre blasphématoire qui n’existait pas,Georges Minois,"Minois, Georges",,"=""2226183124""","=""9782226183125""",0,2.82,Albin Michel,Paperback,327,2009,2009,2016/12/18,2016/12/18,,,read,,,,1,0
1680079,Le Portrait de Dorian Gray,Oscar Wilde,"Wilde, Oscar","Vladimir Volkoff, Jean-Pierre Naugrette","=""2253002887""","=""9782253002888""",4,4.12,Le Livre de Poche,Mass Market Paperback,277,2001,1890,2016/11/19,2016/09/28,,,read,,,,1,0
51787,The Basic Writings of Bertrand Russell,Bertrand Russell,"Russell, Bertrand","Lester E. Denonn, Robert E. Egner","=""041508301X""","=""9780415083010""",5,4.37,Routledge,Paperback,744,2001,1959,2016/10/14,2016/10/05,,,read,,,,1,0
381166,La Monadología,Gottfried Wilhelm Leibniz,"Leibniz, Gottfried Wilhelm",,"=""9871139667""","=""9789871139668""",0,3.87,Quadrata,Paperback,30,2005,1714,2016/10/05,2016/10/05,,,read,,,,1,0
10957434,L'auto Analyse,Karen Horney,"Horney, Karen",,"=""2234009375""","=""9782234009370""",0,4.08,Stock,,247,1978,1942,2016/10/03,2016/09/23,,,read,,,,1,0
